1 -- I've worked in design for:,2 --I primarily work in:,3 --I'm also good at:,4 --I am currently:,5 --My company specializes in:,6 --My company is:,7 --I teach:,8 --I'm not working because:,9 --My organization has:,10 --My immediate team is:,11 --My work touches these industries or sectors:,12 --I’ve been at my current place of work for:,13 --My role is:,14 --My role is:,15 --My role is:,16 --I've been in my current role for:,17 --I typically work:,18 --My annual salary is:,19 --My job provides:,"20 --In my current role, there is:","21 --In my current role, I am:",22 --My job is:,23 --My job stability is:,"24 --In addition to my job, I also:",25 --I fuel my daily creativity with coffee:,26 --Highest level of education I've completed:,27 --I learned design:,28 --My major focus of study was:,"29 --Over my career, I've had:",30 --I've shifted my specialty or focus area:,31 --I stay current with design by:,32 --I'm a member of:,33 --I'd like to get better at:,34 --I am:,"35 --Right now, I can't stop listening to:",36 --I live in:,37 --My age is:,38 --I am:,39 --I consider myself:,40 --My ethnicity is:,41 --The most critical issues and challenges currently facing design are (answer optional):,42 --The emerging trends and technologies that will have the biggest impact on design are (answer optional):,43 --The most valuable design skills for the future will be (answer optional):
15-20 years,Experience Design|Product Design|Strategy|UX Design,Brainstorming and Ideation|Business|Diversity and Inclusion|Facilitation|Leadership|Mentoring|Public Speaking|Relationship Management,A full-time employee in-house,,For-Profit/Corporate,,,1000+ employees,20+ people,Advertising|Technology,Less than 1 year,,Senior manager,,Less than 1 year,41-50 hours per week,217000.0,Child Care|Commuting Benefits|Dental Insurance|Disability Insurance|Education Funding|Employer-matched Retirement|Fitness Benefits|Life Insurance|Medical Insurance|Paid Parental Leave|Paid Time Off|Professional Development|Professional Memberships|Profit Sharing or Stock Options|Wellness Programs,Promising opportunity for advancement,Learning and increasing my skill set every day,The best,Rock solid,None of these,5-6 cups,Master's degree,From a mentor or apprenticeship|On the job|In school,Architecture,4-5 design jobs,1-2 times,Attending conferences|Discussing with peers|Following design feeds|Following social media|Reading books/magazines|Reading online publications,IXDA,AI or Algorithm Design|Business|Data Analysis|Leadership|Public Speaking|Service Design|Social Impact Design|Strategy|Writing,Not interested in a new job right now,Podcasts: 99% invisible and crooked media,94610.0,42,Female,Not LGBTQ,White or Caucasian,"Advertising supported content model|Algorithm bias|Consumer vs. social impact focus|Design not having a ""seat at the table""|Diversity in design and tech|Machine ethics",AI and machine learning|Algorithmic design|Augmented Reality|Behavior tracking and modeling|Conversational interfaces|Democratization of design|Facial and voice recognition|Human augmentation|Image recognition|Internet of Things|Miniaturization and nanotechnology|Networked device ubiquity,Adaptability to tech and social change|Algorithm and data model design|Architecture and environmental design|Asking good questions|Communication skills|Cross-cultural skills|Empathy|Facilitation|Interpersonal skills|Leadership|Managing complexity|Observation and listening|Psychology and human behavior|Storytelling|Systems thinking|Voice interface design
15-20 years,Product Design,Brainstorming and Ideation|Business|Coding|Data Analysis|Facilitation|Leadership|Mentoring|Project Management|Public Speaking,A full-time employee in-house,,For-Profit/Corporate,,,501-1000 employees,11-20 people,Accounting|Financial Services,Less than 1 year,,Senior Executive,,Less than 1 year,41-50 hours per week,300000.0,Child Care|Commuting Benefits|Dental Insurance|Disability Insurance|Education Funding|Employer-matched Retirement|Fitness Benefits|Life Insurance|Medical Insurance|Paid Parental Leave|Paid Time Off|Professional Development|Professional Memberships|Profit Sharing or Stock Options|Wellness Programs,Promising opportunity for advancement,Learning and increasing my skill set every day,Pretty good,Fairly stable,None of these,1-2 cups,Bachelor's degree,From a mentor or apprenticeship|On my own|On the job|Through online training,Other,6-7 design jobs,1-2 times,None of these,None of these,Business,Not interested in a new job right now,hank williams,94117.0,44,Male,Prefer not to say,White or Caucasian,Ethics in design,Quantum computing,Adaptability to tech and social change
Less than 1 year,Graphic Design,Drawing or Painting,Not working,,,,I was laid off,,,,,,,,,,,,,,,,,1-2 cups,Bachelor's degree,In school,Communication|Graphic Design,1 design job,1-2 times,Following design feeds|Following social media|Reading books/magazines|Reading online publications|Seeking online training,None of these,Animation|Coding|Engineering|Motion Graphics|Photography|Product Design|Social Impact Design|Social Media|UI Design|UX Design|Web Design,Working hard to find my next job,Rumpke Mountain Boys,41014.0,46,Female,Not LGBTQ,White or Caucasian,"Design not having a ""seat at the table""|Diversity in design and tech|Education cost and equity of access|Ethics in design|Generational differences in the workforce",AI and machine learning|Algorithmic design|Augmented Reality|Behavior tracking and modeling|Facial and voice recognition|Human augmentation|Internet of Things|Virtual Reality,Adaptability to tech and social change|Asking good questions|Communication skills|Cross-cultural skills|Cross-functional skills|Data analysis|DIY or maker mentality|Empathy|Interpersonal skills|Leadership|Managing complexity|Observation and listening|Play|Psychology and human behavior|Storytelling|Voice interface design
10-14 years,Communication Design|Graphic Design|Marketing|Web Design,Brainstorming and Ideation|Business|Drawing or Painting|Leadership|Project Management,A full-time employee in-house,,For-Profit/Corporate,,,51-100 employees,2-4 people,Financial Services|Real Estate,5-7 years,,Director,,3-4 years,41-50 hours per week,0.0,Dental Insurance|Education Funding|Fitness Benefits|Medical Insurance|Paid Parental Leave|Paid Time Off,Some opportunity for advancement,Learning very little,Pretty good,Rock solid,Take occasional freelance projects|Design for friends and family|Maintain personal projects,"No way, tea",Bachelor's degree,In school,Graphic Design|Motion Graphics,4-5 design jobs,Always ready for what's next,Attending conferences|Following design feeds|Reading books/magazines|Reading online publications|Seeking online training,AIGA|Creative Mornings,Animation|Coding|Motion Graphics|UI Design|UX Design|Web Design,Not interested in a new job right now,Feist,7030.0,30,Female,Not LGBTQ,White or Caucasian,Diversity in design and tech|Education cost and equity of access|Generational differences in the workforce|Trademark and patent issues,3D printing|AI and machine learning|Augmented Reality|Distributed teams and virtual workplace|Image recognition,Adaptability to tech and social change|Communication skills|Interpersonal skills|Leadership|Play
1-4 years,Communication Design|Data Science|Experience Design|Graphic Design|Product Design|UX Design,Brainstorming and Ideation|Coding|Data Analysis|Drawing or Painting|Engineering,Not working,,,,,,,,,,,,,,,,,,,,,3-4 cups,Bachelor's degree,In school,Computer Science,2-3 design jobs,3-4 times,Having a mentor,AIGA,Drawing or Painting|Interaction Design|Photography|Product Design|Service Design|UX Design,"Open to opportunities, but not actively looking",indian classical,90024.0,23,Male,Not LGBTQ,Asian,Environmental impacts of design,3D printing|AI and machine learning|Algorithmic design|Behavior tracking and modeling|Biological or genetic design|Distributed teams and virtual workplace|Internet of Things|Miniaturization and nanotechnology,Architecture and environmental design|Asking good questions|Play|Storytelling
20+ years,Communication Design|Environmental Design|Experience Design|Graphic Design|Marketing|Packaging Design|Photography|Social Impact Design|Strategy|Web Design,Brainstorming and Ideation|Diversity and Inclusion|Facilitation|Leadership|Mentoring|Project Management|Public Speaking|Relationship Management|Social Media|Writing,A full-time employee in-house,,For-Profit/Corporate,,,1000+ employees,5-10 people,Entertainment|Marketing and Communications,10+ years,,Director,,10+ years,41-50 hours per week,0.0,Child Care|Commuting Benefits|Dental Insurance|Disability Insurance|Education Funding|Employer-matched Retirement|Fitness Benefits|Life Insurance|Medical Insurance|Paid Parental Leave|Paid Time Off|Professional Development|Profit Sharing or Stock Options|Wellness Programs,No opportunity for advancement,Learning some new skills,Pretty good,Fairly stable,Own my own business|Have regular freelance clients,"No way, tea",Associate's degree,Through online training|In school,Advertising|Graphic Design,2-3 design jobs,Slowly over time,Attending conferences|Discussing with peers|Following design feeds|Following social media|Seeking online training,None of these,Coding|Leadership|Motion Graphics|Web Design,Working hard to find my next job,Turnover,6611.0,51,Male,Not LGBTQ,White or Caucasian,None of these,3D printing|AI and machine learning|Augmented Reality|Crowdsourcing and open source|Democratization of design|Virtual Reality,
1-4 years,UX Design,Brainstorming and Ideation|Business|Diversity and Inclusion|Leadership|Mentoring|Project Management|Public Speaking|Relationship Management|Sales|Writing,Not working,,,,I was laid off,,,,,,,,,,,,,,,,,3-4 cups,Bachelor's degree,From a mentor or apprenticeship,Other,2-3 design jobs,Slowly over time,Attending conferences|Discussing with peers|Following design feeds|Following social media|Having a mentor|Reading books/magazines|Reading online publications|Seeking online training,None of these,Brainstorming and Ideation|Data Analysis|Diversity and Inclusion|Leadership|Mentoring|Photography|Product Design|Project Management|Public Speaking|Relationship Management|Research|Service Design|Social Impact Design|Strategy|Writing,Working hard to find my next job,Dawn Richard,78722.0,28,Male,LGBTQ,"Latina, Latino, Latinx, or Hispanic",Dark UX patterns|Diversity in design and tech|Education cost and equity of access|Ethics in design|Generational differences in the workforce,Battery and energy technology|Behavior tracking and modeling|Distributed teams and virtual workplace|Facial and voice recognition|Image recognition,Cross-cultural skills|Empathy|Interpersonal skills|Observation and listening
15-20 years,Front-end Development|Graphic Design|Interaction Design|Marketing|Strategy|UI Design|Web Design,Brainstorming and Ideation|Business|Leadership|Mentoring|Project Management|Public Speaking|Social Media,Self-employed or freelancing,Branding,,,,1-10 employees,2-4 people,Consumer Products|Gaming|Technology|Web Services,3-4 years,Owner/Partner,,,3-4 years,40 hours per week,0.0,None of these,Promising opportunity for advancement,Learning and increasing my skill set every day,Not great,Non-existent,Own my own business|Maintain personal projects,"No way, tea",Bachelor's degree,In school,Graphic Design|Visual Design|Website Design,10+ design jobs,Always ready for what's next,Following design feeds|Following social media|Reading online publications,None of these,Drawing or Painting|Photography|Relationship Management|Sales|Writing,Not sure,I don't understand the question.,11101.0,31,Female,Not LGBTQ,Other,Advertising supported content model,Distributed teams and virtual workplace|Virtual Reality,Adaptability to tech and social change|Empathy|Improvisation|Managing complexity|Observation and listening|Play|Psychology and human behavior|Risk tolerance|Scientific methods|Storytelling
5-9 years,Interaction Design|UI Design|UX Design,None of these,Not working,,,,Prefer not to say,,,,,,,,,,,,,,,,,Other,Bachelor's degree,On the job|Through online training|In school,Graphic Design,4-5 design jobs,1-2 times,Attending conferences|Discussing with peers|Reading books/magazines|Reading online publications|Seeking online training,IXDA,Animation|Interaction Design|Product Design|Service Design|UX Design,Working hard to find my next job,Bleachers,94112.0,30,Male,Not LGBTQ,White or Caucasian,"Dark UX patterns|Design not having a ""seat at the table""|Diversity in design and tech",AI and machine learning|Augmented Reality|Biological or genetic design|Distributed teams and virtual workplace|Facial and voice recognition|Internet of Things,Algorithm and data model design|Asking good questions|Cross-functional skills|Empathy|Improvisation|Interpersonal skills|Voice interface design
Less than 1 year,Animation|Fashion Design|Interior Design,Drawing or Painting,Not working,,,,Prefer not to say,,,,,,,,,,,,,,,,,"No way, tea",Associate's degree,On my own,Fashion Design|Photography,2-3 design jobs,1-2 times,Reading books/magazines|Reading online publications,None of these,Photography,Casually looking for the right opportunity,Harry Styles,,53,Female,Prefer not to say,Other,Ethics in design,3D printing|Augmented Reality|Conversational interfaces,Adaptability to tech and social change|Cross-functional skills|Psychology and human behavior|Voice interface design
1-4 years,Graphic Design,Brainstorming and Ideation|Data Analysis|Diversity and Inclusion|Drawing or Painting|Writing,Not working,,,,Prefer not to say,,,,,,,,,,,,,,,,,1-2 cups,Bachelor's degree,From programs or workshops|On my own|On the job|Through online training|In school,Graphic Design,2-3 design jobs,0 times,Reading books/magazines|Reading online publications|Seeking online training,None of these,Brainstorming and Ideation|Coding|Data Analysis|Diversity and Inclusion|Drawing or Painting|Facilitation|Interaction Design|Leadership|Motion Graphics|Photography|Product Design|Project Management|Public Speaking|Relationship Management|Research|Sales|Service Design|Social Impact Design|Strategy|UI Design|UX Design|Web Design|Writing,"Open to opportunities, but not actively looking",The sound of hot air being pushed through the sad radiator in my office.,2539.0,25,Prefer not to say,LGBTQ,Prefer not to say,None of these,3D printing|AI and machine learning|Algorithmic design|Biological or genetic design|Democratization of design|Image recognition|Quantum computing,Adaptability to tech and social change|Asking good questions|Communication skills|Managing complexity|Observation and listening
5-9 years,UI Design|UX Design|Web Design,Brainstorming and Ideation|Business|Coding|Facilitation|Leadership|Mentoring|Project Management|Relationship Management|SEO/SEM|Social Media,Not working,,,,I was laid off,,,,,,,,,,,,,,,,,3-4 cups,Bachelor's degree,From a mentor or apprenticeship|On the job,Digital Media,1 design job,1-2 times,Attending conferences|Discussing with peers|Following design feeds|Reading books/magazines,IXDA,Photography|Product Design|SEO/SEM|Social Media|UI Design|UX Design|Web Design,Working hard to find my next job,Design Matters,,25,Male,Not LGBTQ,White or Caucasian,"Dark UX patterns|Design not having a ""seat at the table""|Diversity in design and tech|Software complexity",AI and machine learning|Augmented Reality|Image recognition|Internet of Things,Interpersonal skills|Storytelling|Voice interface design
10-14 years,Graphic Design|Product Design,Brainstorming and Ideation|Business|Leadership|Public Speaking|Social Media|Writing,A full-time employee in-house,,For-Profit/Corporate,,,51-100 employees,5-10 people,Manufacturing|Sports and Fitness,1-2 years,,Mid-level specialist,,3-4 years,41-50 hours per week,300000.0,None of these,Limited opportunity for advancement,Learning very little,Pretty good,Fairly stable,Have regular freelance clients|Maintain personal projects,1-2 cups,Bachelor's degree,In school,Industrial Design|Product Design,6-7 design jobs,3-4 times,Discussing with peers|Following design feeds|Following social media|Reading books/magazines|Reading online publications|Seeking online training,Creative Mornings,Animation|Project Management|Sales,"Open to opportunities, but not actively looking",Kpop,,31,Male,LGBTQ,Asian,"Consumer vs. social impact focus|Design not having a ""seat at the table""|Education cost and equity of access|Environmental impacts of design",Crowdsourcing and open source,Cross-functional skills|Storytelling
5-9 years,Graphic Design,Brainstorming and Ideation|Business|Diversity and Inclusion|Drawing or Painting|Leadership|Mentoring|Project Management|Relationship Management|Social Media|Writing,A full-time employee in-house,,For-Profit/Corporate,,,Not sure,2-4 people,Accounting|Advertising|Agriculture|Arts|Computers|Consulting|Consumer Products|Food and Beverage|Health Care|Hospitality|Industrial Goods|Information Sciences|Information Technology|Legal|Manufacturing|Marketing and Communications|Retail|Shipping|Technology|Telecommunications|Travel and Tourism,Less than 1 year,,Mid-level specialist,,Less than 1 year,40 hours per week,0.0,Dental Insurance|Disability Insurance|Education Funding|Life Insurance|Medical Insurance|Paid Time Off|Wellness Programs,Limited opportunity for advancement,Learning some new skills,Pretty good,Fairly stable,Take occasional freelance projects|Design for friends and family|Maintain personal projects|Volunteer,Other,Bachelor's degree,From a mentor or apprenticeship|From programs or workshops|On my own|On the job|Through online training|In school,Art|Communication|Graphic Design|Photography,2-3 design jobs,0 times,Discussing with peers|Having a mentor|Reading books/magazines|Reading online publications,None of these,Animation|Brainstorming and Ideation|Business|Data Analysis|Diversity and Inclusion|Drawing or Painting|Interaction Design|Leadership|Mentoring|Motion Graphics|Photography|Project Management|Relationship Management|Research|Social Impact Design|Social Media|UX Design|Web Design|Writing,Not interested in a new job right now,My Heart,53211.0,24,Female,Not LGBTQ,White or Caucasian,Consumer vs. social impact focus|Diversity in design and tech|Education cost and equity of access|Environmental impacts of design|Ethics in design|Generational differences in the workforce|Software complexity,3D printing|Augmented Reality|Behavior tracking and modeling|Democratization of design|Distributed teams and virtual workplace|Image recognition|Virtual Reality,Adaptability to tech and social change|Asking good questions|Communication skills|Cross-cultural skills|Cross-functional skills|Data analysis|DIY or maker mentality|Empathy|Facilitation|Improvisation|Interpersonal skills|Managing complexity|Observation and listening|Play|Psychology and human behavior|Risk tolerance|Scientific methods|Storytelling|Systems thinking
15-20 years,Communication Design|Education|Experience Design|Front-end Development|Graphic Design|Photography|UI Design|UX Design|Web Design,Brainstorming and Ideation|Coding|Drawing or Painting|Facilitation|Mentoring|Project Management|Public Speaking|Social Media|Writing,An educator,,,Undergraduate school|Graduate school|Art school|Programs or workshops|Technical or Trade school,,251-500 employees,Just me,Arts|Computers|Consulting|Education|Information Technology|Music|Publishing|Technology|Web Services,1-2 years,,,Other,3-4 years,41-50 hours per week,0.0,None of these,Limited opportunity for advancement,Learning some new skills,Pretty good,Not sure,Own my own business|Take occasional freelance projects|Design for friends and family|Maintain personal projects|Teach|Volunteer,Other,Bachelor's degree,From a mentor or apprenticeship|From programs or workshops|On my own,Art|Communication|Digital Media|Graphic Design|Multimedia|Photography|UX and UI|Website Design,10+ design jobs,Slowly over time,Discussing with peers|Following design feeds|Following social media|Reading online publications,None of these,Business|Facilitation|Mentoring,Casually looking for the right opportunity,silence,,34,Male,Prefer not to say,Asian,"Design not having a ""seat at the table""|Education cost and equity of access|Ethics in design",Behavior tracking and modeling|Biological or genetic design|Quantum computing,Asking good questions|Communication skills|Empathy|Interpersonal skills|Observation and listening|Psychology and human behavior
Less than 1 year,Communication Design|Environmental Design|Experience Design|Graphic Design|Illustration|Packaging Design|Web Design,Brainstorming and Ideation|Coding|Diversity and Inclusion|Drawing or Painting|Social Media|Writing,Other,,,,,Not sure,Just me,Arts,Less than 1 year,,,,Less than 1 year,Less than 40 hours per week,0.0,None of these,Not sure,Not sure,Not sure,Not sure,Maintain personal projects,Other,Bachelor's degree,In school,Graphic Design,1 design job,0 times,Attending conferences|Discussing with peers|Following design feeds|Following social media|Reading books/magazines|Reading online publications,AIGA,Business|Coding|Drawing or Painting|Facilitation|Motion Graphics|Public Speaking|Social Impact Design|Strategy|UI Design|UX Design,Working hard to find my next job,Hyuna!,94103.0,21,Female,LGBTQ,Asian,Consumer vs. social impact focus|Diversity in design and tech|Education cost and equity of access|Environmental impacts of design|Ethics in design|Machine ethics,AI and machine learning|Algorithmic design|Augmented Reality|Democratization of design|Human augmentation|Internet of Things|Virtual Reality,Adaptability to tech and social change|Asking good questions|Communication skills|Cross-cultural skills|DIY or maker mentality|Empathy|Interpersonal skills|Leadership|Managing complexity|Observation and listening|Play|Risk tolerance|Storytelling|Systems thinking
1-4 years,Graphic Design|Illustration|Photography|Product Design,Drawing or Painting|Engineering|Leadership|Project Management|Public Speaking|Writing,Other,,,,,101-250 employees,2-4 people,Technology,3-4 years,,,,1-2 years,Less than 40 hours per week,0.0,Education Funding|Professional Development,Some opportunity for advancement,Learning some new skills,Pretty good,Fairly stable,Design for friends and family|Volunteer,1-2 cups,Technical degree or certificate,From a mentor or apprenticeship|On my own|On the job|Through online training,Other,10+ design jobs,1-2 times,Having a mentor|Reading books/magazines|Reading online publications,None of these,AI or Algorithm Design|Animation|Brainstorming and Ideation|Business|Data Analysis|Drawing or Painting|Engineering|Leadership|Motion Graphics|Photography|Product Design|Project Management|Public Speaking|Relationship Management|Research|Strategy|UI Design|VR or AR Design|Web Design|Writing,"Open to opportunities, but not actively looking",My motivation,,20,Male,Not LGBTQ,Asian,"Advertising supported content model|Consumer vs. social impact focus|Design not having a ""seat at the table""|Diversity in design and tech|Environmental impacts of design|Generational differences in the workforce|Software complexity|Trademark and patent issues",AI and machine learning|Human augmentation|Internet of Things|Quantum computing,Adaptability to tech and social change|Algorithm and data model design|Managing complexity|Observation and listening|Scientific methods|Systems thinking
Less than 1 year,Front-end Development|Web Design,Brainstorming and Ideation|Leadership|Public Speaking,Not working,,,,Prefer not to say,,,,,,,,,,,,,,,,,1-2 cups,Some college,On my own|Through online training,Website Design,1 design job,Always ready for what's next,Following design feeds|Reading online publications,None of these,AI or Algorithm Design|Coding|Public Speaking|Web Design,"Open to opportunities, but not actively looking",Song,,21,Male,Not LGBTQ,Asian,Diversity in design and tech|Ethics in design,AI and machine learning|Algorithmic design|Virtual Reality,None of these
Less than 1 year,Product Design,Brainstorming and Ideation|Drawing or Painting,Not working,,,,,,,,,,,,,,,,,,,,,"No way, tea",Technical degree or certificate,In school,Product Design,1 design job,0 times,Following design feeds|Following social media|Reading online publications,None of these,Brainstorming and Ideation|Drawing or Painting|Product Design|Project Management|Public Speaking|UI Design|UX Design,Not sure,Bring Me The Horizon,,24,Male,Not LGBTQ,Asian,Consumer vs. social impact focus|Dark UX patterns|Diversity in design and tech|Education cost and equity of access|Ethics in design,3D printing|Crowdsourcing and open source,Adaptability to tech and social change|DIY or maker mentality|Improvisation|Observation and listening|Psychology and human behavior
1-4 years,Graphic Design|Illustration|Marketing|Packaging Design,Diversity and Inclusion|Drawing or Painting|Mentoring|Project Management|Social Media|Writing,Not working,,,,Prefer not to say,,,,,,,,,,,,,,,,,"No way, tea",Bachelor's degree,From a mentor or apprenticeship|On my own|On the job|In school,Advertising|Art|Digital Media|Graphic Design|Illustration|Marketing|Package Design|Printing or Print Making,1 design job,Always ready for what's next,Attending conferences|Discussing with peers|Following design feeds|Following social media|Reading online publications,None of these,Brainstorming and Ideation|Coding|Diversity and Inclusion|Drawing or Painting|Facilitation|Interaction Design|Leadership|Photography|Product Design|Project Management|Public Speaking|Relationship Management|Research|Social Impact Design|Social Media|Strategy|UI Design|UX Design|Web Design,Working hard to find my next job,Kesha (she has helped me stay positive),14850.0,28,Female,Not LGBTQ,White or Caucasian,"Consumer vs. social impact focus|Design not having a ""seat at the table""|Diversity in design and tech|Education cost and equity of access|Environmental impacts of design|Ethics in design|Generational differences in the workforce",Algorithmic design|Augmented Reality|Behavior tracking and modeling|Crowdsourcing and open source|Democratization of design|Facial and voice recognition|Human augmentation|Miniaturization and nanotechnology|Networked device ubiquity,Adaptability to tech and social change|Asking good questions|Communication skills|Cross-cultural skills|Cross-functional skills|DIY or maker mentality|Empathy|Improvisation|Interpersonal skills|Leadership|Managing complexity|Observation and listening|Risk tolerance|Storytelling|Systems thinking
20+ years,Communication Design|Education|Experience Design|Instructional Design|Marketing|Research|Social Impact Design|Strategy,Brainstorming and Ideation|Business|Diversity and Inclusion|Facilitation|Leadership|Mentoring|Project Management|Public Speaking|Relationship Management|Sales|Social Media|Writing,A full-time employee in-house,,Non-Profit,,,11-50 employees,20+ people,Accounting|Advertising|Aerospace|Agriculture|Air Transportation|Alcohol or Tobacco|Apparel and Accessories|Architecture|Arts|Automotive|Banking|Biotechnology|Chemical|Computers|Construction|Consulting|Consumer Products|Education|Electronics|Energy|Entertainment|Financial Services|Food and Beverage|Gaming|Government|Health Care|Hospitality|Industrial Goods|Information Sciences|Information Technology|Insurance|Legal|Manufacturing|Marketing and Communications|Media and Broadcasting|Medical Equipment|Mining|Music|Pharmaceutical|Publishing|Real Estate|Retail|Shipping|Sports and Fitness|Technology|Telecommunications|Transportation|Travel and Tourism|Utilities|Web Services,1-2 years,,Senior Executive,,1-2 years,60+ hours per week,285000.0,Dental Insurance|Disability Insurance|Employer-matched Retirement|Fitness Benefits|Life Insurance|Medical Insurance|Paid Time Off|Professional Development|Professional Memberships|Wellness Programs,Promising opportunity for advancement,Learning and increasing my skill set every day,The best,Fairly stable,Maintain personal projects|Volunteer,3-4 cups,Master's degree,From a mentor or apprenticeship|From programs or workshops|On my own|On the job|Through online training|In school,Art|Communication|Computer Science|Design and Technology,10+ design jobs,Always ready for what's next,Attending conferences|Discussing with peers|Following design feeds|Following social media|Reading books/magazines|Reading online publications|Seeking online training,AIGA,Sales|Service Design|Writing,Not interested in a new job right now,music,12564.0,64,Female,Prefer not to say,White or Caucasian,"Consumer vs. social impact focus|Design not having a ""seat at the table""|Diversity in design and tech|Education cost and equity of access|Environmental impacts of design|Generational differences in the workforce",AI and machine learning|Conversational interfaces|Crowdsourcing and open source|Democratization of design|Distributed teams and virtual workplace|Facial and voice recognition|Internet of Things,Adaptability to tech and social change|Asking good questions|Communication skills|Cross-cultural skills|Cross-functional skills|Data analysis|DIY or maker mentality|Empathy|Facilitation|Improvisation|Interpersonal skills|Leadership|Managing complexity|Storytelling|Systems thinking
Less than 1 year,Graphic Design|Illustration,Drawing or Painting,Not working,,,,,,,,,,,,,,,,,,,,,1-2 cups,Some college,In school,Graphic Design,1 design job,0 times,Discussing with peers|Following social media|Having a mentor|Reading books/magazines|Reading online publications,None of these,AI or Algorithm Design|Animation|Brainstorming and Ideation|Coding|Drawing or Painting|Public Speaking|UX Design|VR or AR Design,Not sure,ocean man by ween,72761.0,21,Prefer not to say,Prefer not to say,"Latina, Latino, Latinx, or Hispanic",Education cost and equity of access|Environmental impacts of design|Human-machine interface limitations|Machine ethics|Software complexity|Trademark and patent issues,3D printing|AI and machine learning|Augmented Reality|Battery and energy technology|Behavior tracking and modeling|Crowdsourcing and open source|Distributed teams and virtual workplace|Facial and voice recognition|Human augmentation|Image recognition|Internet of Things|Virtual Reality,Cross-cultural skills|DIY or maker mentality|Empathy|Play|Psychology and human behavior|Scientific methods|Storytelling|Systems thinking|Voice interface design
5-9 years,Urban Design|UX Design,Brainstorming and Ideation|Coding|Data Analysis|Drawing or Painting|Mentoring|Public Speaking|Writing,Not working,,,,I was laid off,,,,,,,,,,,,,,,,,1-2 cups,Master's degree,From a mentor or apprenticeship|From programs or workshops|On my own|On the job|Through online training|In school,Landscape Architecture|Urban Design|UX and UI|Visual Design,10+ design jobs,1-2 times,Following design feeds|Reading books/magazines|Reading online publications|Seeking online training,Creative Mornings|IXDA,Interaction Design|Product Design|Project Management|Public Speaking|Relationship Management|Social Impact Design|Web Design,Working hard to find my next job,podasts,94502.0,41,Female,Not LGBTQ,White or Caucasian,"Design not having a ""seat at the table""|Diversity in design and tech",AI and machine learning|Behavior tracking and modeling|Virtual Reality,Improvisation|Managing complexity
15-20 years,Data Science|Experience Design|Front-end Development|Illustration|Product Design|Strategy|UI Design|UX Design|Web Design,Business|Coding|Engineering|Facilitation|Leadership|Mentoring,Self-employed or freelancing,Branding|Digital|Product Design|Service Design|Strategy,,,,1-10 employees,2-4 people,Accounting|Advertising|Consumer Products|Education|Financial Services|Food and Beverage|Health Care|Information Technology|Insurance|Marketing and Communications|Technology,1-2 years,Owner/Partner,,,8-10 years,40 hours per week,265000.0,None of these,Not sure,Learning and increasing my skill set every day,The best,Fairly stable,Own my own business|Maintain personal projects,1-2 cups,Master's degree,From a mentor or apprenticeship|On my own|On the job,Strategic Design Management,10+ design jobs,Always ready for what's next,Discussing with peers|Following design feeds|Reading books/magazines|Reading online publications,None of these,AI or Algorithm Design|Business|Leadership|Photography|Project Management|Public Speaking|Service Design|Strategy|Writing,Casually looking for the right opportunity,Black Violin and Tape Five,94903.0,34,Male,Not LGBTQ,White or Caucasian,None of these,AI and machine learning|Distributed teams and virtual workplace|Virtual Reality,Adaptability to tech and social change|Cross-cultural skills|Cross-functional skills|Empathy|Interpersonal skills|Leadership|Managing complexity|Observation and listening|Risk tolerance|Scientific methods|Storytelling|Systems thinking
1-4 years,Communication Design|Experience Design|Illustration|Interaction Design|Product Design|Research|Service Design|Strategy|UI Design|UX Design|Web Design,Brainstorming and Ideation|Business|Diversity and Inclusion|Drawing or Painting|Facilitation|Leadership|Mentoring|Project Management,A full-time employee in-house,,Startup,,,11-50 employees,2-4 people,Consumer Products|Education|Technology|Web Services,Less than 1 year,,Senior manager,,Less than 1 year,40 hours per week,870000.0,Paid Time Off|Profit Sharing or Stock Options,Some opportunity for advancement,Learning very little,Not great,Somewhat shaky,Maintain personal projects,1-2 cups,Bachelor's degree,On my own|On the job|Through online training|In school,Industrial Design|UX and UI,2-3 design jobs,0 times,Attending conferences|Following design feeds|Following social media|Reading books/magazines|Reading online publications|Seeking online training,None of these,Business|Coding|Data Analysis|Leadership|Product Design|Project Management|Public Speaking|UX Design,Casually looking for the right opportunity,Design Details Podcast,,25,Female,Prefer not to say,Asian,"Design not having a ""seat at the table""|Environmental impacts of design|Generational differences in the workforce",AI and machine learning|Algorithmic design|Biological or genetic design|Human augmentation|Internet of Things|Quantum computing,Algorithm and data model design|Communication skills|Cross-cultural skills|Cross-functional skills|Data analysis|Leadership|Managing complexity|Psychology and human behavior|Systems thinking
